ѕоз.;ќбозначение;Ќаименование; ол.;ѕримечание
7;220VAC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,5 м;DKC.00107RL
8;24VDC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,5 м;DKC.00107RL
9;220VAC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,7 м;DKC.00107RL
10;24VDC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,7 м;DKC.00107RL
36;24VDC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,6 м;DKC.00107RL
37;220VAC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,6 м;DKC.00107RL
;;;;
38;220VAC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,6 м;DKC.00107RL
81;24VDC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,7 м;DKC.00107RL
82;24VDC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,7 м;DKC.00107RL
83;24VDC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,2 м;DKC.00107RL
84;24VDC;ѕерфорированный короб RL12 40x60ђмм (Ўx¬);0,2 м;DKC.00107RL
107;24VDC;ѕерфорированный короб RL12 40x40 мм (Ўx¬);1,6 м;DKC.00134RL
108;220VAC;ѕерфорированный короб RL12 40x40 мм (Ўx¬);1,8 м;DKC.00134RL
332;24VDC;ѕерфорированный короб RL12 40x40 мм (Ўx¬);0,2 м;DKC.00134RL
333;220VAC;ѕерфорированный короб RL12 40x40 мм (Ўx¬);0,2 м;DKC.00134RL
334;24VDC;ѕерфорированный короб RL12 40x40 мм (Ўx¬);0,2 м;DKC.00134RL
335;220VAC;ѕерфорированный короб RL12 40x40 мм (Ўx¬);0,2 м;DKC.00134RL
111;24VDC;ѕерфорированный короб RL12 100x80ђмм (Ўx¬);1,5 м;DKC.00153RL
114;24VDC;ѕерфорированный короб RL12 100x80ђмм (Ўx¬);1,2 м;DKC.00153RL
109;24VDC;ѕерфорированный короб RL12 80x80 BL (Ўx¬);1,5 м;DKC.01168RL
110;24VDC;ѕерфорированный короб RL12 80x80 BL (Ўx¬);1,5 м;DKC.01168RL
;;;;
112;24VDC;ѕерфорированный короб RL12 80x80 BL (Ўx¬);1,2 м;DKC.01168RL
113;24VDC;ѕерфорированный короб RL12 80x80 BL (Ўx¬);1,2 м;DKC.01168RL
13;;DIN-рейка OMEGA 3AF, 35x15 мм (Ўx¬);0,6 м;DKC.02150
;;;;
14;;DIN-рейка OMEGA 3AF, 35x15 мм (Ўx¬);0,6 м;DKC.02150
85;;DIN-рейка OMEGA 3AF, 35x15 мм (Ўx¬);0,6 м;DKC.02150
115;;DIN-рейка OMEGA 3AF, 35x15 мм (Ўx¬);1,5 м;DKC.02150
;;;;
116;;DIN-рейка OMEGA 3AF, 35x15 мм (Ўx¬);1,2 м;DKC.02150
117;;DIN-рейка OMEGA 3AF, 35x15 мм (Ўx¬);1,5 м;DKC.02150
;;;;
;;;;
;;;;
528;;"0/N-peuKa  ONEGA 3AF, 35x15 """" (WxB)";0,1 M;DKC.02150
650;;"0/N-peuKa  ONEGA 3AF, 35x15 """" (WxB)";1,2 M;DKC.02150
